"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"460";"Rio Tinto, Corta Lago";"Iberian Peninsula";18,317;15,62495051;38,38712007;"#FFA500";"triangle";25,32;21,6;53,07
"461";"Rio Tinto corta Dehesa";"Iberian Peninsula";18,193;15,607;38,175;"#FFA500";"triangle";25,28;21,68;53,04
"462";"Rio Tinto corta Dehesa";"Iberian Peninsula";18,207;15,629;38,207;"#FFA500";"triangle";25,27;21,69;53,03
"463";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,188;15,636;38,211;"#FFA500";"triangle";25,25;21,71;53,05
"464";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,191;15,627;38,207;"#FFA500";"triangle";25,26;21,7;53,05
"465";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,198;15,644;38,275;"#FFA500";"triangle";25,23;21,69;53,07
"466";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,169;15,611;38,153;"#FFA500";"triangle";25,26;21,7;53,04
"467";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,182;15,624;38,195;"#FFA500";"triangle";25,25;21,7;53,05
"468";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,198;15,645;38,268;"#FFA500";"triangle";25,24;21,7;53,07
"469";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,186;15,631;38,216;"#FFA500";"triangle";25,25;21,7;53,05
"470";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,198;15,645;38,26;"#FFA500";"triangle";25,24;21,7;53,06
"471";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,192;15,639;38,242;"#FFA500";"triangle";25,24;21,7;53,06
"472";"Rio Tinto San Dionisio open pit ";"Iberian Peninsula";18,186;15,626;38,205;"#FFA500";"triangle";25,25;21,7;53,05
"473";"Rio Tinto San Dionisio level 30";"Iberian Peninsula";18,192;15,64;38,257;"#FFA500";"triangle";25,24;21,7;53,07
"474";"Rio Tinto San Dionisio level 30";"Iberian Peninsula";18,18;15,615;38,162;"#FFA500";"triangle";25,27;21,7;53,03
"475";"Granada de Rio Tinto";"Iberian Peninsula";17,741;15,524;37,729;"#FFA500";"triangle";24,99;21,87;53,14
"476";"San Telmo";"Iberian Peninsula";18,188;15,609;38,158;"#FFA500";"triangle";25,28;21,69;53,03
"477";"San Telmo";"Iberian Peninsula";18,192;15,594;38,106;"#FFA500";"triangle";25,3;21,69;53
"478";"San Telmo";"Iberian Peninsula";18,183;15,604;38,135;"#FFA500";"triangle";25,28;21,7;53,02
"479";"Santa Ana";"Iberian Peninsula";18,188;15,627;38,19;"#FFA500";"triangle";25,26;21,7;53,04
"480";"Sao Domingos";"Iberian Peninsula";18,163;15,63;38,228;"#FFA500";"triangle";25,22;21,7;53,08
"481";"Sao Domingos";"Iberian Peninsula";18,175;15,62;38,205;"#FFA500";"triangle";25,24;21,69;53,06
"482";"Sao Domingos";"Iberian Peninsula";18,188;15,637;38,213;"#FFA500";"triangle";25,25;21,71;53,05
"483";"Sao Domingos (gossan)";"Iberian Peninsula";18,192;15,627;38,217;"#FFA500";"triangle";25,25;21,69;53,05
"484";"Sao Domingos (gossan)";"Iberian Peninsula";18,201;15,653;38,304;"#FFA500";"triangle";25,22;21,69;53,08
"485";"Sao Domingos (gossan)";"Iberian Peninsula";18,193;15,641;38,283;"#FFA500";"triangle";25,23;21,69;53,08
"486";"Sao Domingos (gossan)";"Iberian Peninsula";18,199;15,655;38,298;"#FFA500";"triangle";25,22;21,7;53,08
"487";"Sao Domingos (gossan)";"Iberian Peninsula";18,182;15,628;38,231;"#FFA500";"triangle";25,24;21,69;53,07
"488";"Sao Domingos (gossan)";"Iberian Peninsula";18,176;15,627;38,232;"#FFA500";"triangle";25,23;21,69;53,07
